"","res_id","date_gen","date_checkin","nights","guests","ori_id","agency_id","mean_price_per_night","status"
"6101",11952403,2021-10-20,2021-10-22,1,1,13,"Agencia_2",34.16,"Cancelled"
"6102",11952689,2021-10-20,2021-10-20,1,1,13,"Agencia_2",72.21,"Cancelled"
"6103",11952697,2021-10-20,2021-10-21,1,1,13,"Agencia_2",56,"Cancelled"
"6104",11952693,2021-10-20,2021-10-21,1,1,13,"Agencia_2",56,"Cancelled"
"6105",11952841,2021-10-20,2021-10-21,1,1,7,"Agencia_2",56,"Confirmed"
"6106",11952817,2021-10-20,2021-10-21,1,1,13,"Agencia_2",56,"Cancelled"
"6107",11952813,2021-10-20,2021-10-27,2,1,13,"Agencia_2",38,"Cancelled"
"6108",11952896,2021-10-20,2021-10-28,1,1,13,"Agencia_2",34.16,"Cancelled"
"6109",11952900,2021-10-20,2021-10-28,1,1,7,"Agencia_2",34.16,"Confirmed"
"6110",11952936,2021-10-20,2021-10-28,1,1,7,"Agencia_2",34.16,"Confirmed"
"6111",11952935,2021-10-20,2021-10-28,1,1,7,"Agencia_2",34.16,"Confirmed"
"6112",11952922,2021-10-20,2021-10-28,1,1,13,"Agencia_2",34.16,"Cancelled"
"6113",11952938,2021-10-20,2021-10-28,1,1,13,"Agencia_2",34.16,"Cancelled"
"6114",11954020,2021-10-20,2021-11-01,1,1,13,"Agencia_2",65.8,"Cancelled"
"6115",11954018,2021-10-20,2021-11-01,1,1,13,"Agencia_2",65.8,"Cancelled"
"6116",11955431,2021-10-20,2021-10-21,1,1,13,"Agencia_2",55.25,"Cancelled"
"6117",11955513,2021-10-20,2021-10-27,1,1,13,"Agencia_2",34.16,"Cancelled"
"6118",11955585,2021-10-20,2021-10-21,1,1,13,"Agencia_2",94,"Cancelled"
"6119",11956574,2021-10-20,2021-11-14,4,1,13,"Agencia_2",39.93,"Cancelled"
"6120",11956768,2021-10-20,2021-10-25,4,1,13,"Agencia_2",39.93,"Cancelled"
"6121",11959775,2021-10-21,2021-11-11,1,1,13,"Agencia_2",89.1,"Cancelled"
"6122",11960820,2021-10-21,2021-10-27,1,1,13,"Agencia_2",43.75,"Cancelled"
